rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/hall_pass,Bill Gibron,False,PopMatters,Rotten,1.5/5,2011-02-25,"More than a decade ago, they were irreverent. After watching the mangled mess that is Hall Pass, it's clear that the (Farrellys) are now nothing more than irrelevant."
m/jim_and_andy_the_great_beyond_featuring_a_very_special_contractually_obligated_mention_of_tony_clifton,Darren Franich,True,Entertainment Weekly,Fresh,B,2017-11-17,"It's not quite good, and in some ways the film's point is rather loathsome, but it's also an enthralling look at the artistic process - and, maybe accidentally, a bleak vision of the power and privilege of celebrity."
m/filth_2013,David Keyes,False,Cinemaphile.org,Rotten,1/4,2014-06-16,"Here is a relentlessly shallow and nihilistic movie, a 97-minute exercise in cynicism with nothing of substance standing in a manic foreground."
m/super_size_me,Emily Blunt,False,Blunt Review,Fresh,4/4,2004-05-04,Super Size Me is McBrilliant and may be one of the most important documentaries you'll ever see. Read on->
m/real_steel,Edward Douglas,False,ComingSoon.net,Fresh,8.5/10,2011-10-05,Delivers a powerful dramatic punch without ever feeling like it needs to dumb itself down to win over its audience.
m/music_of_the_heart,Tom Keogh,True,Film.com,Rotten,,2000-01-01,"It may be premature to think Craven just doesn't spark outside the horror genre, but there's nothing here to suggest the opposite."
m/blue_is_the_warmest_color,Eric Melin,False,Scene-Stealers.com,Fresh,3.5/4,2013-11-22,"Two fearless performances and three hours later, the movie succeeds in bringing such emotional complexity to life that its easy to relate to for anyone who has been in love."
m/the-war-on-the-war-on-drugs,Eric Monder,False,Film Journal International,Rotten,,2007-03-01,The film becomes repetitive and dull.
m/sky_captain,Rick Groen,True,Globe and Mail,Rotten,2.5/4,2004-09-17,What begins as childlike and filled with wonder ends as childish and fraught with tedium.
m/sex_and_the_city_2,Scott A. Mantz,False,Scott Mantz' Movie Reviews,Fresh,3/5,2010-05-27,"Sex and the City 2 gives the fans what they want: more of everything. Haters will continue to hate it, but it's not for them anyway."
m/robert_the_bruce,James Berardinelli,True,ReelViews,Rotten,2/5,2020-05-27,[With] accents that range from passable to comically bad...
m/meet_the_fockers,Joseph Proimakis,False,Movies for the Masses,Fresh,3/5,2006-10-03,full review in Greek
m/up,Diana Saenger,False,ReviewExpress.com,Fresh,4/5,2009-06-01,Minus a lot of laughs for children Pixar's beautiful animation alleviated by Michael Giacchino's magnificent music transports us to a far away make-believe place in the blink of an eye.
m/gossip,Stephen Holden,True,New York Times,Rotten,1.5/5,2000-01-01,"Although Gossip comes with a heavy dose of moralism about dating etiquette and truth-telling, the movie's vision of contemporary youth is as corrupt and prurient as that of Cruel Intentions."
m/scream_queen_my_nightmare_on_elm_street,Andrew Stover,False,Film Inquiry,Fresh,,2019-11-09,"Scream, Queen! My Nightmare on Elm Street is a compelling documentary that pinpoints Patton's short-lived career as an actor, and his story is a requisite reminder of how far we've come in the fray for gay impartiality."
m/1144992-crash,Edward Johnson-Ott,False,NUVO Newsweekly,Fresh,4/5,2015-02-23,Crash is the best film I've seen so far this year.
m/view_from_the_top,Betty Jo Tucker,False,ReelTalk Movie Reviews,Fresh,,2003-03-21,"Not everything about this movie worked for me, but I loved its colorful costumes as well as Paltrow's appealing performance."
m/mothman_prophecies,Michael O'Sullivan,True,Washington Post,Fresh,4.5/5,2002-01-24,"One truly, madly, deeply satisfying creep-out."
m/what_if_2014,Henry Barnes,True,Guardian,Rotten,2/5,2013-09-10,It's really hard to finish. It's liable to leave you queasy.
m/pokemon_the_first_movie_mewtwo_vs_mew,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"It's just a sound-and-light show, linked to the marketing push for Pokemon in general."
m/1153341-breakfast_on_pluto,Wesley Morris,True,Boston Globe,Rotten,2.5/4,2005-12-24,"Breakfast on Pluto ambles along nicely, but feels as if it's never going to end."
m/league_of_extraordinary_gentlemen,Felix Vasquez Jr.,False,Cinema Crazed,Fresh,,2009-04-29,A guilty pleasure from top to bottom
m/capturing_the_friedmans,Desson Thomson,True,Washington Post,Fresh,,2003-06-13,"An incredibly provocative, fascinating film that is about the way one eccentric family faced an intolerable crisis and the confounding wheels of justice."
m/you_dont_mess_with_the_zohan,Sheri Linden,True,Hollywood Reporter,Fresh,,2008-06-04,"A genial, hit-and-miss return to the ridiculous for Adam Sandler."
m/son_of_rambow,Graham Killeen,False,Milwaukee Journal Sentinel,Rotten,2.5/4,2008-05-16,"You know the Sundance drill: Eventually, the whole school is caught up in their good-natured artistic high jinks, and all involved learn the heartwarming lesson that there's a place in the world for a group of loners."
m/rocketman_2019,Peter Travers,True,Rolling Stone,Fresh,4/5,2019-05-28,"The young, gay, conflicted and addicted Elton John is brought to life by an electrifying, Oscar-caliber Taron Egerton and Dexter Fletcher's dazzling cinematic inventiveness. Forget the cliches, this one you don't want to miss."
m/gothika,Dustin Putman,False,TheFilmFile.com,Fresh,3/4,2003-11-22,"Gothika is a classy, dread-filled production populated with an above-average cast and plenty of namesake atmospherics...One of the stronger horror entries of the year."
m/inception,Clint O'Connor,False,Cleveland Plain Dealer,Fresh,A,2010-07-15,"Writer-director Christopher Nolan swims into the swirly sea of the subconscious in this beautiful, blindingly clever film."
m/the_lord_of_the_rings_the_fellowship_of_the_ring,Robert W. Butler,False,Kansas City Star,Fresh,,2001-12-21,"If Crouching Tiger, Hidden Dragon was the Citizen Kane of martial arts films, The Lord of the Rings does the same thing for the fantasy quest genre."
m/1056079-specialist,Christopher Harris,True,Globe and Mail,Rotten,,2002-04-12,"This movie is a stinker in every way, from the one-dimensional acting to the idiot dialogue to the surprisingly monotonous storyline."
m/spectre_2015,Fausto Ponce,False,Proceso,Fresh,,2015-11-11,"Action and excitement, beautiful landscapes and quick dialogue, light political comentary and existencialism are the elements that make this an awesome film. [Full review in Spanish]"
m/their_finest_2017,David 'Mad Dog' Bradley,False,Adelaide Review,Fresh,,2017-04-26,"This has a fine performance by Arterton (who really should be a big name in Hollywood by now), some terrific on-set humour and a bold final act that doesn't quite go the way expected."
m/the-secret-of-kells,Mark Dujsik,False,Mark Reviews Movies,Fresh,3/4,2010-06-24,"A lovely film, clearly lovingly assembled."
m/being_julia,Robert W. Butler,False,Kansas City Star,Rotten,2/4,2004-11-29,"Ponderous and superficial, and no art deco fashions or tasteful drawing rooms can compensate for it."
m/gimme_shelter,Donald J. Levit,False,ReelTalk Movie Reviews,Fresh,,2012-11-23,"'Gimme Shelter' is not a concert film but a statement of a sea change, of the group way back when and of an end to its and the public's innocence and to the counterculture that once flourished."
m/the_sweeney,Emanuel Levy,False,EmanuelLevy.Com,Rotten,C,2013-02-28,
m/rampart_2010,Justin Chang,True,Variety,Rotten,,2011-11-21,"While the film is drenched in atmosphere and packs a verbal and visceral punch, its relentless downward spiral makes for an overdetermined, not entirely satisfying character study."
m/maria_full_of_grace,Leah McLaren,True,Globe and Mail,Fresh,4/4,2004-07-30,Provides a moving critique of the heroin trade as well as a powerful portrait of an unjust global economy in which the lives of the poor are exploited and often discarded for the recreational purposes of the rich.
m/the_holiday,Nicholas Barber,False,Independent on Sunday,Rotten,,2019-04-02,Isn't it reassuring to know in these troubled times that it's possible for gorgeous rich people to find love?
m/disobedience_2017,Josephine Livingstone,True,The New Republic,Fresh,,2018-04-30,"[Rachel] McAdams feels like an uncanny piece of casting, at least to me, who grew up nearby, though secular, in North London."
m/tailor_of_panama,Cynthia Fuchs,False,Nitrate Online,Fresh,,2001-03-30,Often darkly witty.
m/your_highness,Corey Hall,False,"Metro Times (Detroit, MI)",Fresh,B-,2011-04-08,"Your Highness never met a problem it couldn't blast with an F-Bomb, and pushes the one-note gag of mixing pauncy medieval language with locker-room dirty talk about as far as humanly possible. Enjoyment hinges on your weakness for juvenilia."
m/shooter,Steve Rhodes,False,Internet Reviews,Rotten,2/4,2007-03-19,A predictable and preposterous picture with more plot holes than Bonnie-and-Clyde's machine gun riddled car.
m/venom_2018,Jesse Hassenger,True,AV Club,Rotten,C,2018-10-03,"The filmmakers seem faintly aware that not all comic book characters are superheroes, but unsure of what else Venom could actually be."
m/life_of_crime_2013,Jonathan Kiefer,False,SF Weekly,Fresh,,2014-08-29,"While Schechter takes the hairpin plot-turns more cautiously than more flamboyant and better-known directors might, at least Bey and especially the humble genius Hawkes get to make this movie very much their own."
m/bronson,A.O. Scott,True,New York Times,Fresh,3/5,2009-10-09,A bit like Stanley Kubrick's Clockwork Orange reimagined as a one-man stage show and stripped of any political implications.
m/1118698-empire,Jim Judy,False,Screen It!,Rotten,4/10,2002-12-06,"Not atrocious, but certainly far from being as good as it might have been."
m/1155467-glory_road,Christopher Smith,False,Bangor Daily News (Maine),Rotten,C-,2006-01-14,A sweaty package of sports movie cliches.
m/dirty_wars_2013,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,5/5,2013-06-06,A shocking documentary about secret US counter-terrorist operations around the world that have made us masters of war in the eyes of African warlords and others.
m/1408,Megan Basham,False,WORLD,Fresh,,2018-10-13,"1408 feels like a classic, well-acted haunted house tale. It may not go very deep with some of the bigger questions it asks, but it is interesting that it bothers to ask them."
m/spectre_2015,Fionnuala Halligan,False,Screen International,Fresh,,2015-10-21,Mendes isn't afraid to hurl every trick in the Bond book onscreen to remind us of why we love 007.
m/night_at_the_museum_secret_of_the_tomb,Claudia Puig,True,USA Today,Fresh,2.5/4,2014-12-17,"Where the previous films felt frenetic and forced, this outing feels breezier, more enjoyable and less contrived."
m/darkman,James Rocchi,False,Netflix,Fresh,4/5,2002-11-07,Simultaneously funny and thrilling.
m/closer,David Sterritt,False,Christian Science Monitor,Fresh,3/4,2004-12-02,It's a movie that demands more than one viewing to absorb all its ideas and feelings.
m/armageddon,David Keyes,False,Cinemaphile.org,Rotten,0.5/4,2000-01-01,...a waste of 100 million dollars and the talent of great actors...
m/you_can_count_on_me,Annlee Ellingson,False,Boxoffice Magazine,Fresh,,2000-01-01,"An ensemble character piece, You Can Count on Me counts on great performances, and Linney, Ruffalo, Culkin and Broderick deliver."
m/the_circle_2017,Brian Orndorf,False,Blu-ray.com,Rotten,D+,2017-04-28,"Ponsoldt graduates to large-scale storytelling with ""The Circle,"" but the effort slides right out of his hands almost as soon as it begins, with the picture often too clumsy and overcooked to frighten viewers."
m/whip_it,Sara Michelle Fetters,False,MovieFreak.com,Fresh,3/4,2009-10-09,"While unsurprising and more than a tad familiar, this is nonetheless one of the more exuberantly entertaining pictures I've seen this Fall."
m/antiviral,Luke Y. Thompson,False,Nerdist,Rotten,,2012-09-26,"Great premise for a Twilight Zone episode, but where do you take it from there? Nowhere much, unfortunately."
m/10012014-babies,Tom Long,True,Detroit News,Fresh,B,2010-05-07,"Blessed with no narration, an absence of gimmickry and an embracing love for its subject matter, Babies is as sweet, joyful and filled with curiosity as a you-know-what."
m/timeline,Robert Koehler,True,Variety,Rotten,,2008-10-18,"Yet another case of making time travel a messy ordeal rather than a load of fun, Timeline lacks the consistent tone, pace and point of view for either a science fiction thriller or medieval war adventure."
m/the_dark_tower_2017,Dan Callahan,True,TheWrap,Rotten,,2017-08-03,"The 95-minute culmination of years-long efforts to bring The Dark Tower to the big screen is a complete disaster, a limp, barely coherent shell of a movie."
m/odd_couple_ii,Chuck O'Leary,False,FulvueDrive-in.com,Rotten,4/10,2006-03-04,"A big letdown. They waited 30 years to follow-up a classic comedy with this? Sadly, the final film Lemmon and Matthau did together is also the pair's weakest."
m/every_little_step,Susan Granger,False,SSG Syndicate,Fresh,7/10,2009-05-13,"Stage-struck and sentimental, it shows what these earnest, passionate performers still do for love."
m/small_time_crooks,Mike Clark,True,USA Today,Rotten,2.5/4,2000-01-01,It plays more like a second draft than a final product.
m/1010555-inherit_the_wind,Robert Roten,False,Laramie Movie Scope,Fresh,4/5,2003-03-03,
m/observe_and_report,Neil Miller,False,Film School Rejects,Fresh,B+,2019-04-10,It is not the simple story we've come to know from the average Hollywood comedy. And that is why it works so well.
m/scooby_doo_2_monsters_unleashed,Cynthia Fuchs,False,Nitrate Online,Rotten,,2004-03-26,"In the sequel no one needs to see, the Scooby Gang grapples with the stress of stardom."
m/starred_up,Matthew Bond,False,The Mail on Sunday (UK),Fresh,4/5,2017-10-31,Jack O'Connell and Ben Mendelsohn are outstanding as the prison hardmen who just happen to be father and son.
m/great_debaters,Tony Medley,False,tonymedley.com,Fresh,9/10,2007-12-24,"This isn't just the story of a debate team, it's a captivating picture of what ambitious, intelligent black people faced (then), and still face today in some areas."
m/i_frankenstein,John Beifuss,False,"Commercial Appeal (Memphis, TN)",Rotten,1.5/4,2014-01-31,The final insult is saved for the end credits: 'Special Thanks to Mary Shelley.'
m/wild_2014,Nicholas Bell,False,IONCINEMA.com,Fresh,3.5/5,2019-09-12,"Sometimes, simplicity makes for a most evocative and emotional journey, and Vallee's Wild is successful in that regard."
m/my_week_with_marilyn,Robbie Collin,True,Daily Telegraph (UK),Fresh,3/5,2011-11-25,"Williams, lambent as ever, ably conveys the tension between Monroe's eyelid-fluttering public persona and the damaged woman behind it."
m/day_for_night,Karina Longworth,False,SpoutBlog,Fresh,5/5,2007-11-26,
m/tammys_always_dying,Mark Dujsik,False,Mark Reviews Movies,Fresh,3/4,2020-05-01,Johnson's approach is simply to find sympathy for all of these characters -- as much as they might not want or deserve it.
m/standard_operating_procedure,James Verniere,False,Boston Herald,Fresh,B+,2008-10-18,
m/1144992-crash,Todd Jorgenson,False,Denton Record-Chronicle,Fresh,,2005-06-14,"The film is eager to boil blood and encourage discussion, which it should do, yet never loses sight of its overall obligation to entertain."
m/by_the_grace_of_god_2019,Carlos Bonfil,False,La Jornada,Fresh,,2019-11-20,"The actors Melvil Poupaud, Denis Ménochet and Swann Arlaud interpret three survivors with contrasting ethical and religious positions, but also very complementary ones. [Full Review in Spanish]"
m/perfume_the_story_of_a_murderer,Debi Moore,False,Dread Central,Fresh,4/5,2007-01-15,"I've seen just about everything the man has done over the past decade, and I was still surprised by the film's awesome scope and amazing beauty"
m/black_out_2012,Nicholas Bell,False,IONCINEMA.com,Rotten,1.5/5,2019-08-29,A quick burn whose buzz wears off well before the end credits.
m/hustle_and_flow,Claudia Puig,True,USA Today,Fresh,3/4,2005-07-21,"Howard takes a character that might have been a caricature and makes him real -- sometimes icy, sometimes fiery, sometimes slick, sometimes passionate."
m/from_paris_with_love,Chris Hewitt,False,St. Paul Pioneer Press,Rotten,2/4,2010-02-05,"There isn't a moment in this movie that makes sense, but stupid as it is, it also has a joie de dopey vivre you have to love."
m/raising_victor_vargas,Rene Rodriguez,True,Miami Herald,Fresh,3.5/4,2003-05-02,There's nothing in the utterly enchanting Raising Victor Vargas you haven't seen before; you'd just be hard-pressed to name another movie that did it as well.
m/weather_man,Richard Roeper,True,Ebert & Roeper,Fresh,,2005-10-31,It's a strange film.
m/10009210-duchess_of_langeais,Chris Hewitt,True,St. Paul Pioneer Press,Rotten,1/4,2008-05-09,"Classy? Yes,"
m/ella_enchanted,Edward Havens,False,FilmJerk.com,Fresh,B+,2004-04-08,"A film adults can enjoy with their younger family members or alone, and might not too be embarrassed to recommend to their friends."
m/month_by_the_lake,Roger Ebert,True,Chicago Sun-Times,Fresh,3.5/4,2000-01-01,"A Month by the Lake is a sly romantic comedy about a collision of sex, ego, will and pride, all peeping out from beneath great thick layers of British reticence."
m/captain_america_civil_war,Alan Cerny,False,ComingSoon.net,Fresh,10/10,2016-05-04,One of the best blockbusters ever made.
m/1095414-whatever_it_takes,Bob Thompson,False,Jam! Movies,Rotten,,2000-01-01,The cliches annoy.
m/sketches_of_frank_gehry,Jeff Vice,False,Deseret News (Salt Lake City),Fresh,3/4,2006-08-13,... it's probably the best movie Pollack has made in awhile.
m/star_80,Octavi Marti,False,El Pais (Spain),Fresh,,2020-02-10,"Certain splendid details... justify, in part, the director's ambitions. [Full Review in Spanish]"
m/born_to_be_blue,Aine O'Connor,False,Sunday Independent (Ireland),Fresh,4/5,2016-08-08,"Whispery and jazzy and niche market, it is hooked around an excellent performance from Hawke."
m/secretary,David Ansen,True,Newsweek,Fresh,,2007-11-01,"A feel-good movie about sadomasochism, the seriocomic Secretary manages to be simultaneously subversive and sweet...In the wrong hands, the conceit could have turned ugly and offensive. But Spader and Gyllenhaal have a hushed, hilarious chemistry."
m/eyes_wide_shut,Joe Morgenstern,True,Wall Street Journal,Rotten,,2014-12-13,"Eyes Wide Shut feels overblown, unresolved; in a better world it would not be the last work of an illustrious career. But this world is good enough to have given us all of Stanley Kubrick's films, and for that film lovers must give thanks."
m/war_on_whistleblowers_free_press_and_the_national_security_state,Gary Goldstein,True,Los Angeles Times,Rotten,2.5/5,2013-04-26,"At under an hour, the film, which also touches on White House-driven leaks for political gain, can't help but feel a bit incomplete."
m/jupiter_ascending_2014,Mark Jackson,False,Epoch Times,Rotten,3.5/5,2016-06-03,"'Jupiter Ascending' is a thematic cornucopia of 'Star Wars/Trek/Gate,' 'The Matrix,' 'Predator,' 'Wolf,' even 'Turbo' (the snail cartoon), and at least seven more."
m/saved,Mark R. Leeper,False,Mark Leeper's Reviews,Fresh,7/10,2004-11-24,For a light comedy this film says a great deal about some serious issues. The script shows a few rough edges but it beats many films of much higher pretensions.
m/0878835,Joe Morgenstern,True,Wall Street Journal,Fresh,,2010-04-30,"This gorgeous film, always tender and sometimes dark, is a deeply resonant comic drama that's concerned with nothing less than life, death, love, sex, guilt and the urban logic of mortality."
m/swingers,Madeleine Williams,False,Cinematter,Rotten,2.5/4,2000-01-01,"Swingers has a few good laughs here and there, but never achieves anything poignant."
m/the_limehouse_golem,Peter Bradshaw,True,Guardian,Fresh,4/5,2017-08-31,"A very literate, bibliophile shocker."
m/shot_caller,Peter Bradshaw,True,Guardian,Fresh,4/5,2017-12-14,"My expectations here were tepid. But Shot Caller turns out to be a really taut, tense, prison-set thriller, a little like Jacques Audiard's A Prophet and longform television such as Breaking Bad or The Wire."
m/art_and_craft,John DeFore,True,Hollywood Reporter,Fresh,,2014-09-16,Deeply eccentric subject makes for an engaging art-doc.
m/the_founder,Bill Goodykoontz,True,Arizona Republic,Fresh,3.5/5,2017-01-19,"""The Founder"" examines a kind of bigger-is-better, bullying capitalism that is, for the moment at least, celebrated. That doesn't make it a better movie, but it does make it a timely one."
m/godzilla_king_of_the_monsters_2019,Sebastian Zavala Kahn,False,Me gusta el cine,Rotten,2.5/5,2019-06-06,"A noisy movie with a couple of exciting or visually arresting moments, but also with a lot of filler and gratuitous content. [Full review in Spanish]"
m/the_standoff_at_sparrow_creek,Rick Bentley,False,Tribune News Service,Fresh,3/4,2019-01-17,"The Standoff at Sparrow Creek is the first feature film for writer/director Henry Dunham, but he has already cracked the formula for making a quality movie."
m/secret_window,Claudia Puig,True,USA Today,Fresh,3/4,2004-03-11,A potent psychological thriller bolstered by strong performances and an offbeat sense of humor.
m/rock_of_ages_2012,Todd Jorgenson,False,Cinemalogue,Rotten,,2012-06-18,The film seems to take itself too seriously rather than embracing its cheesy roots.
m/a_monster_calls,Marija Djurovic,False,Cairo360,Fresh,3/5,2017-03-09,"There are times when certain segments of the movie feel a little forced and heavy-handed, but regardless of those minor flaws, A Monster Calls still manages to inspire, move and entertain. A box of tissues is essential."
m/planet_51,Rob Vaux,False,Mania.com,Rotten,D,2009-11-21,"After positing its central gimmick, it more or less stands there for 90 minutes, waiting for applause that never comes."
m/sully,Arturo Magaña,False,Cine Premiere,Fresh,3.5/5,2016-12-02,"Tom Hanks delivers a very good performance, as always. It manages to transmit courage, skill and even the fears of the captain turning it into a beloved character. [Full review in Spanish]"
m/loudmouth_soup,Akiva Gottlieb,True,Village Voice,Rotten,,2005-09-20,Loudmouth Soup perpetuates the same shallow myths about Los Angeles that it pretends to indict.
m/after_class,John DeFore,True,Hollywood Reporter,Fresh,,2019-12-04,"As in Schechter's previous movies, an unusually strong cast is key to making this touchy material work, with supporting players Lynn Cohen and Richard Schiff especially crucial."
m/1210830-antichrist,Lisa Schwarzbaum,True,Entertainment Weekly,Rotten,,2009-05-18,"It's one good-looking, publicity-grabbing provocation, with an overlay of pseudo-Christian allegory thrown in to deflect a reasonable person's accusations of misogyny."
m/dolphin_tale,Matthew Turner,False,ViewLondon,Fresh,3/5,2011-10-13,"Engagingly directed and superbly written, this is a heart-warming feel-good drama with likeable characters and some impressive dolphin wrangling, though the 3D is entirely unnecessary."
m/halloween_2018,Ryan Gilbey,False,New Statesman,Fresh,,2019-01-26,"[Forgets] that a decent Halloween movie should take its cue from Michael Myers: low on chat, high on surprise. Even so, this one can still boast a higher-than-average proportion of treats among its tricks."
m/requiem_for_a_dream,,True,Globe and Mail,Rotten,2.5/4,2002-04-05,
m/tower_heist,Gary Thompson,False,Philadelphia Daily News,Fresh,3/4,2011-11-03,"There's a nice ensemble feel, the cast is easy to root for, and although Ratner goes big and broad during the finale (Thanksgiving Day Parade), interest in the revenge plot or its crew never flags."
m/tears_of_the_sun,Wesley Morris,True,Boston Globe,Fresh,3/4,2003-03-07,"At its best, the film is a nightmare embossed on a postcard -- horrific and ominously gorgeous."
m/center_of_the_world,Pablo Villaça,False,Cinema em Cena,Fresh,3/5,2003-11-18,"Utilizando o sexo como ponte para estudar seus personagens, o diretor Wayne Wang cria um filme interessante, mas no totalmente satisfatrio."
m/night_at_the_museum_2,Jules Brenner,False,Cinema Signals,Rotten,2/5,2009-11-30,No stone is left unturned.
m/the_night_clerk_2020,Walter Chaw,False,Film Freak Central,Rotten,0.5/4,2020-02-27,"Yeah, The Night Clerk is awful."
m/1111227-iris,Jason Clark,False,Matinee Magazine,Rotten,,2002-08-19,Made by people who seem to think that tracking degenerate behavior is more important than character development
m/on_her_majestys_secret_service,Scott Nash,False,Three Movie Buffs,Fresh,3/4,1969-12-18,"If only Sean Connery had starred in On Her Majesty's Secret Service instead of George Lazenby. If he had and with just a few tweaks, this could have been the best Bond movie in the entire franchise."
m/first_man,Bob Chipman,False,Geek,Fresh,3.5/5,2018-10-31,It's honestly hard to imagine any other actor of [Gosling's] generation so realistically embodying the restrained dialed-back countenance of men of this particular generation.
m/sixteen_candles,Victoria Alexander,False,FilmsInReview.com,Fresh,5/5,2003-10-20,So great I brought it on laserdisc years ago!
m/tristram_shandy_a_cock_and_bull_story,Jean-François Vandeuren,False,Panorama,Fresh,9/10,2006-06-05,un film dont on se dlecte autant pour la redoutable intelligence de son rcit et le ct fl de sa structure narrative que pour son humour aussi mordant que dsopilant
m/before_sunset,MaryAnn Johanson,False,Flick Filosopher,Fresh,,2004-07-02,"[P]erfectly perfect... so charmingly simple a film, so absorbing and ambitious in its simplicity. I love, love, love this movie."
m/logans_run,Christopher Null,False,Filmcritic.com,Rotten,2.5/5,2003-10-27,"In the future, it's gonna look a lot like the '70s."
m/spider_man_homecoming,Rendy Jones,False,Rendy Reviews,Fresh,4/5,2018-08-30,"With a strong performance by Holland, ""Homecoming"" doesn't only incorporate Peter Parker to the MCU but provides a character driven story with humor & heart throughout."
m/guzaarish_2010,Simon Foster,False,sbs.com.au,Fresh,,2010-12-08,Sanjay Leela Bhansali's Guzaarish balances its blubbery sentimentality with some beautifully-realised images to heart-warming and generally likable effect.
m/big_eden,Steven Rea,True,Philadelphia Inquirer,Rotten,2/4,2001-10-18,"Gross doesn't have the spark of a star, and most everyone else seems to hail straight from central casting."
m/closer,Bill Muller,True,Arizona Republic,Fresh,4/5,2004-12-02,"Next to Closer, most on-screen relationships seem too neat and polite, with tears shed only for effect, and feelings bruised but never really damaged."
m/starry_eyes,Meredith Borders,False,Birth.Movies.Death.,Fresh,,2014-11-14,"STARRY EYES' story is not uncommon, but its execution is grand. The film is harrowing and insightful, unafraid to go to places both dark and deep."
m/johnny_guitar,"Michael W. Phillips, Jr.",False,Goatdog's Movies,Fresh,5/5,2008-02-29,
m/mist,Rob Humanick,False,Projection Booth,Fresh,B,2008-03-24,"A great achievement in many ways, Darabont's biggest misstep is his final submission to the road more traveled."
m/in_their_skin,Staci Layne Wilson,False,Horror.com,Fresh,,2012-11-06,"While we can see everything coming from a mile away, director Jeremy Power Regimbal does a great job with [the basic] screenplay."
m/rio_bravo,Christopher Null,False,Contactmusic.com,Fresh,3.5/5,2013-04-23,"A definitive piece of Americana by way of Howard Hawks, Rio Bravo is what the late 1950s studio system was all about"
m/maudie,Glenn Kenny,True,RogerEbert.com,Fresh,3.5/4,2017-06-15,"This film shows instead of tells, and what it shows is sad, disturbing, beautiful, and moving, sometimes all at once."
m/fences_2016,Catherine Shoard,True,Guardian,Fresh,4/5,2016-11-22,"This film is conceived as a showcase for its performers, and, as that, it is immaculate."
m/harrisons_flowers,Rod Armstrong,False,Reel.com,Fresh,2.5/4,2002-03-15,"Because of [MacDowell], the film is moving, if not up to the standards of similar fare such as Under Fire or Welcome to Sarajevo."
m/manhattan,Kevin N. Laforest,False,Montreal Film Journal,Fresh,3.5/4,2002-09-10,It might be the most charming portrait of New York ever immortalized on film.
m/the_hole_in_the_ground,Brian Orndorf,False,Blu-ray.com,Fresh,B+,2019-02-21,"Cronin does a fine job sustaining disquiet, also delivering a climax that satisfies, slipping into the unreal without destroying tonality."
m/i_love_you_to_death,Rob Vaux,False,Flipside Movie Emporium,Rotten,2/5,2002-08-30,
m/the_diving_bell_and_the_butterfly_2007,Jonathan Kiefer,False,Sacramento News & Review,Fresh,4/5,2008-08-07,"Diving Bell is modishly slick, visually inventive and vaguely immaterial but ultimately moving because, well, how could it not be?"
m/in_fear_2013,Tim Robey,True,Daily Telegraph (UK),Fresh,4/5,2013-11-14,Both young actors seem even more promising after the movie than they did before it. Neither was given the full script or knew the story's outcome.
m/the_mule_2018,Danielle Solzman,False,Solzy at the Movies,Rotten,,2018-12-13,Clint Eastwood may get a late career role in playing Earl Stone but The Mule doesn't deliver as hoped.
m/1016397-planet_of_the_apes,John Dooley,True,Salon.com,Rotten,,2001-08-16,"A dreadful film, a compendium of clumsy dialogue, one-dimensional characters, risible plot turns and long silences broken by incomprehensible meaningful looks."
m/stage_beauty,Steve Rhodes,False,Internet Reviews,Rotten,2.5/4,2004-10-11,... starts strongly but completely loses its way in a long and lackadaisical second act.
m/sacco_and_vanzetti,Michael Wilmington,True,Chicago Tribune,Fresh,3/4,2007-05-17,"Nicola Sacco, Bartolomeo Vanzetti, and the incredible firestorm of outrage generated by their criminal trials have been largely neglected in recent years, but Peter Miller's absolutely engrossing documentary Sacco and Vanzetti brings it all back."
m/southbound,Frank Scheck,True,Hollywood Reporter,Fresh,,2016-02-02,"The horror anthology genre gets a shot in the arm with Southbound, an uncommonly cohesive and intelligent example of the form."
m/1108389-pearl_harbor,James Sanford,False,Kalamazoo Gazette,Fresh,,2002-06-10,"Wallace and Bay aren't striving for gutsy realism. ""Pearl Harbor"" isn't so much about the start of WWII as it is about Hollywood perceptions of WWII."
m/flags_of_our_fathers,Rob Humanick,False,Stranger Song,Rotten,,2007-07-03,Witness to a great director's vision being slowly strangled by the work of a hired hack.
m/max_2016,Jocelyn Noveck,True,Associated Press,Rotten,D-,2015-06-26,"It's like they invited the Coen brothers - or maybe Quentin Tarantino - to script a few scenes of a ""Dora the Explorer"" episode."
m/son_of_god_2014,Cameron Meier,False,Orlando Weekly,Rotten,1.75/5,2014-02-26,"Pilate predicts that, following his death, Jesus will be forgotten in a week. Though those words proved preposterously untrue, they somehow seem fitting for this film."
m/road_to_perdition,Cynthia Fuchs,False,Nitrate Online,Fresh,,2002-07-12,Such sheer beauty almost makes up for the film's tired plot.
m/white_squall,Jeff Millar,True,Houston Chronicle,Fresh,,2000-01-01,"Director Ridley Scott, who more than anyone else founded post-1960s visceral filmmaking, is at the top of his form in White Squall."
m/the_wife_2018,Richard von Busack,False,MetroActive,Rotten,,2018-08-29,"What makes The Wife insufferable soap is the masochistic insistence that the men are all crushers, and that that's all that's possible for them to do."
